Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
65,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,91,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300019350564,5233300042083922,5233300042132402,5233300042134791
66,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,92,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233300019403503,5233300042132402,5233300064708859,5233300064710348
67,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,94,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300019434711,5233300064720219,5233300064897979,5233300064899242
68,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,96,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300019460820,5233300064909979,5233300064957499,5233300064958873
69,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,97,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233300019511675,5233300064957499,5233300087537476,5233300087538969
70,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,99,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300019541631,5233300087548836,5233300087724356,5233300087725608
71,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,101,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300019566608,5233300087736516,5233300087782596,5233300087784909
72,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,102,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233300019616572,5233300087782583,5233300110373920,5233300110378760
73,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,104,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300019645556,5233300110385278,5233300110563038,5233300110564337
74,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,106,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300019671164,5233300110575038,5233300110623518,5233300110624820
75,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,107,258074,258074,2097152,256,61440,0,128,16,48,64,0x0,0x7f81fbf38680,5233300019720255,5233300110623518,5233300133213415,5233300133214905
76,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,109,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300133391656,5233300133409735,5233300133456775,5233300133458180
77,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,110,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300139143745,5233300139158529,5233300161881546,5233300161944122
78,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,113,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300161947609,5233300161967786,5233300162144585,5233300162146321
79,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,114,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300161969520,5233300162144585,5233300162193065,5233300162194521
80,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,115,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300162038589,5233300162193185,5233300184906445,5233300184977105
81,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,116,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300162052034,5233300184906445,5233300185084843,5233300185087001
82,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,117,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300162062684,5233300185084843,5233300185136043,5233300185137846
83,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,118,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300162127115,5233300185136043,5233300207872342,5233300207874083
84,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,119,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300162139468,5233300207872342,5233300208050102,5233300208051645
85,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,120,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300162148595,5233300208050102,5233300208098262,5233300208099715
86,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,121,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300162210892,5233300208098262,5233300230832001,5233300230833619
87,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,122,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300162224056,5233300230832001,5233300231008161,5233300231009598
88,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,123,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300162233153,5233300231008161,5233300231056961,5233300231058379
89,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,124,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300162280091,5233300231057079,5233300253786821,5233300253791661
90,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,125,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300162290561,5233300253786821,5233300253964579,5233300253965967
91,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,126,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300162298335,5233300253964579,5233300254012099,5233300254013376
92,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,127,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300162343269,5233300254012099,5233300276730481,5233300276732111
93,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,129,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300276776063,5233300276791601,5233300276839281,5233300276840544
94,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,130,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300276842076,5233300276860561,5233300299578782,5233300299643216
95,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,131,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300276863356,5233300299578782,5233300299755742,5233300299757830
96,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,133,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300276899424,5233300299769182,5233300299816542,5233300299819255
97,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,134,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300276952533,5233300299816554,5233300322536376,5233300322541366
98,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,136,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300276982589,5233300322547894,5233300322730934,5233300322732393
99,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,138,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300277009169,5233300322742934,5233300322790614,5233300322791944
100,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,139,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300277060304,5233300322790614,5233300345509636,5233300345511220
101,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,141,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300277089048,5233300345521156,5233300345694916,5233300345696006
102,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,143,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300277114757,5233300345706916,5233300345753156,5233300345754616
103,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,144,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300277164780,5233300345753156,5233300368475857,5233300368477478
104,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,146,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300277193233,5233300368487377,5233300368661777,5233300368663206
105,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,148,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300277217839,5233300368674097,5233300368722257,5233300368724110
106,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,149,258074,258074,2097152,256,40960,0,116,20,32,64,0x0,0x7f81fbf28680,5233300277266691,5233300368722473,5233300391440379,5233300391445469
107,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,151,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300391613303,5233300391630937,5233300391679417,5233300391680489
108,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,152,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300397546421,5233300397562134,5233300420524839,5233300420589933
109,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,155,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300420592578,5233300420618759,5233300420797319,5233300420798854
110,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,156,258074,258074,4194304,256,0,0,4,4,16,64,0x0,0x7f81fb7d98c0,5233300420619499,5233300420797319,5233300420847399,5233300420849018
111,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,157,258074,258074,4194304,256,61440,0,128,16,48,64,0x0,0x7f81fbf18680,5233300420689319,5233300420847399,5233300443794424,5233300443868526
112,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,158,258074,258074,16000000,256,0,0,4,4,16,64,0x0,0x7f81fb7d93c0,5233300420702895,5233300443794424,5233300443974104,5233300443975956
