Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
10,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,12,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,315042,315042,250000,2000000,191221729,1435129484,5233287610150567,5233299432128180,5233299432304500,5233287655759096
11,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,13,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37285101,37285101,16384,159252480,23730186717,176784961414,5233287610285679,5233299432304500,5233299455006385,5233287678506074
12,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,14,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,325593,325593,250000,2000000,197504618,1481482225,5233287610382360,5233299455006385,5233299455183505,5233287678721477
13,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,15,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37266368,37266368,16384,159252480,23719438396,176703870225,5233287610516231,5233299455183506,5233299477888431,5233287701456843
14,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,16,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,315795,315795,250000,2000000,191266512,1435489251,5233287610611319,5233299477888431,5233299478065549,5233287701663379
15,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,17,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37270297,37270297,16384,159252480,23719609104,176709107209,5233287610750890,5233299478065549,5233299500772714,5233287724399507
16,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,19,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37252659,37252659,16384,159252480,23712379048,176648200233,5233287724522817,5233299500881194,5233299523596999,5233287747425156
17,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,20,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,316259,316259,250000,2000000,191551416,1437631454,5233287724667047,5233299523596999,5233299523771719,5233287747573543
18,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,22,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37264220,37264220,16384,159252480,23715348583,176673557210,5233287724832256,5233299523785124,5233299546488936,5233287770322264
19,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,24,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,314736,314736,250000,2000000,190143559,1427382922,5233287724952451,5233299546499974,5233299546679814,5233287770536114
20,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,26,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37269225,37269225,16384,159252480,23721304939,176719698902,5233287725113052,5233299546691974,5233299569394825,5233287793287150
21,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,28,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,309924,309924,250000,2000000,187711782,1409472184,5233287725230641,5233299569405705,5233299569586345,5233287793500208
22,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,30,257468,257468,1048576,256,61440,0,128,16,48,64,0x0,0x7f5ca5c78680,37260517,37260517,16384,159252480,23716939679,176692296435,5233287725385922,5233299569598345,5233299592312876,5233287816244200
23,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,32,257468,257468,16000000,256,0,0,4,4,16,64,0x0,0x7f5ca4f993c0,310538,310538,250000,2000000,187812609,1410120342,5233287725500857,5233299592323756,5233299592497676,5233287816457559
