Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
173,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,241,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38209429,38209429,134682,305675440,131072,3920141403,305456320,0,15684039924,5233295078876085,5233300943709270,5233300967040459,5233295102416727
174,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,242,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,319824,319824,17595,2558600,250000,206059275,2419739,0,831037624,5233295078979738,5233300967040459,5233300967221577,5233295102568441
175,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,243,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,103145,103145,15656,825168,65536,58916103,688750,0,237439988,5233295079176527,5233300967221577,5233300967269097,5233295102683666
176,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,244,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38187546,38187546,133063,305500376,131072,3910545425,305141585,0,15645655652,5233295079323431,5233300967269097,5233300990579486,5233295126012633
177,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,245,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,317032,317032,17534,2536264,250000,199081311,2396465,0,803124316,5233295079422727,5233300990579486,5233300990761406,5233295126230561
178,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,246,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,106869,106869,16362,854960,65536,62257349,718154,0,250814520,5233295079511493,5233300990761406,5233300990814526,5233295126320569
179,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,247,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38293678,38293678,134324,306349432,131072,3919892687,306096118,0,15683045584,5233295079648419,5233300990814526,5233301014119954,5233295149731739
180,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,248,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,299209,299209,12167,2393680,250000,188294839,2291523,0,759992208,5233295079744168,5233301014119954,5233301014296114,5233295150324428
181,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,249,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,91053,91053,11849,728432,65536,48403703,634241,0,195394272,5233295079830259,5233301014296114,5233301014345714,5233295150384199
182,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,250,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38030443,38030443,132538,304243552,131072,3911974897,304101398,0,15651373776,5233295079965632,5233301014345200,5233301037613343,5233295173275387
183,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,251,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,322631,322631,17058,2581056,250000,201050514,2439870,0,811003700,5233295080060430,5233301037613343,5233301037790141,5233295173492473
184,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,252,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,105533,105533,16138,844272,65536,60882438,700460,0,245306824,5233295080165566,5233301037790141,5233301037841021,5233295173580347
185,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,253,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38195524,38195524,133935,305564200,131072,3917234744,305409474,0,15672412032,5233295080298145,5233301037841021,5233301061157004,5233295196935282
186,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,255,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,91144,91144,13963,729160,65536,52712543,620919,0,212640312,5233295197013939,5233301061219884,5233301061267244,5233295197231616
187,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,256,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38125877,38125877,130067,305007024,131072,3908115828,304837967,0,15635937980,5233295197241385,5233301061288844,5233301084605466,5233295220762370
188,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,257,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,314728,314728,16572,2517832,250000,189092953,2377982,0,763195396,5233295197423134,5233301084605466,5233301084784506,5233295220913723
189,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,259,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,108130,108130,24200,865048,65536,57350866,664243,0,231177468,5233295197546756,5233301084798106,5233301084845946,5233295221030922
190,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,260,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,37963156,37963156,130373,303705256,131072,3906144352,303402596,0,15628051452,5233295197694262,5233301084845899,5233301108209241,5233295244231669
191,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,262,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,313410,313410,15948,2507288,250000,201821856,2366972,0,814097052,5233295197816320,5233301108220919,5233301108398519,5233295244452001
192,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,264,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,104105,104105,16757,832848,65536,57789365,695136,0,232940120,5233295197935312,5233301108410679,5233301108457559,5233295244548692
193,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,265,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38224657,38224657,134276,305797264,131072,3914547120,305365296,0,15661662520,5233295198088088,5233301108457559,5233301131776581,5233295267911391
194,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,267,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,312023,312023,17626,2496192,250000,191042272,2351880,0,770980380,5233295198214665,5233301131788261,5233301131963301,5233295268133517
195,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,269,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,101338,101338,16017,810712,65536,58779852,674300,0,236906372,5233295198331213,5233301131975461,5233301132022341,5233295268227132
196,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,270,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38020631,38020631,132832,304165056,131072,3911535954,303957514,0,15649618136,5233295198474882,5233301132022341,5233301155215923,5233295291472111
197,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,272,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,311614,311614,16792,2492920,250000,196948135,2347613,0,794593948,5233295198595608,5233301155227923,5233301155406963,5233295291693986
198,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,274,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,103299,103299,15995,826400,65536,59736164,686442,0,240727872,5233295198712546,5233301155419283,5233301155466163,5233295291789775
199,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,275,257775,257775,8388608,256,61440,0,128,16,48,64,0x0,0x7f91e3b98680,38209371,38209371,132967,305674976,131072,3917405552,305509564,0,15673096784,5233295198857738,5233301155466177,5233301178789679,5233295315154458
200,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,277,257775,257775,4194304,256,0,0,4,4,16,64,0x0,0x7f91e3bd98c0,89941,89941,13769,719536,65536,52083980,610565,0,210120916,5233295315363389,5233301179005677,5233301179052397,5233295315575847
201,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,278,257775,257775,8388608,256,40960,0,116,20,32,64,0x0,0x7f91e3b88680,38265896,38265896,129368,306127176,131072,3917356969,305967866,0,15672903196,5233295321363402,5233301184907433,5233301208209495,5233295344889738
202,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,281,257775,257775,16000000,256,0,0,4,4,16,64,0x0,0x7f91e3bd93c0,305942,305942,13958,2447544,250000,187980099,2335344,0,758730768,5233295344914243,5233301208305975,5233301208487575,5233295345299915
