Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_SMEM,SQ_INST_LEVEL_SMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
195,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,269,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,984970,110385832,5233271661232000,5233301131975461,5233301132022341,5233271731150321
196,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,270,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84501562,9464510248,5233271661365119,5233301132022341,5233301155215923,5233271754364673
197,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,272,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1556046,174173208,5233271661476918,5233301155227923,5233301155406963,5233271754576790
198,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,274,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,681728,76356360,5233271661586483,5233301155419283,5233301155466163,5233271754661097
199,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,275,256528,256528,8388608,256,61440,0,128,16,48,64,0x0,0x7efc0b678680,524288,84899666,9508621480,5233271661721646,5233301155466177,5233301178789679,5233271777984594
200,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,277,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,354098,39748736,5233271778189296,5233301179005677,5233301179052397,5233271778379402
201,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,278,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,84797408,9497162632,5233271785378985,5233301184907433,5233301208209495,5233271808831332
202,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,281,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,978508,109711960,5233271808850327,5233301208305975,5233301208487575,5233271809209649
203,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,282,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,610314,68552128,5233271809031997,5233301208487575,5233301208537494,5233271809301220
204,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,283,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,85231030,9545841624,5233271809179964,5233301208537494,5233301231882756,5233271832738359
205,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,284,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1578962,176883704,5233271809277667,5233301231882756,5233301232060196,5233271832883931
206,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,285,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,817636,91548816,5233271809455319,5233301232060196,5233301232108996,5233271832968860
207,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,286,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,85259436,9549501080,5233271809592946,5233301232109026,5233301255421969,5233271856372937
208,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,287,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1558264,174505840,5233271809685860,5233301255421969,5233301255599247,5233271856576658
209,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,288,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,891350,99819096,5233271809766922,5233301255599247,5233301255648687,5233271856656177
210,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,289,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,85120102,9534111688,5233271809899139,5233301255648687,5233301278990910,5233271880026481
211,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,290,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1346256,150763656,5233271809987825,5233301278990910,5233301279167389,5233271880233868
212,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,291,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,909038,101769976,5233271810069037,5233301279167389,5233301279215709,5233271880312415
213,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,292,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,84940670,9514156768,5233271810207856,5233301279215709,5233301302487532,5233271903633687
214,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,293,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1353250,151643128,5233271810310739,5233301302487532,5233301302667852,5233271903838691
215,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,294,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,782130,87622608,5233271810390167,5233301302667852,5233301302716012,5233271903917027
216,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,295,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,84951240,9514752864,5233271810518397,5233301302716207,5233301326031712,5233271927241936
217,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,297,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,355770,39949528,5233271927305645,5233301326101470,5233301326148670,5233271927500730
218,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,298,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,84991282,9518603904,5233271927510699,5233301326170270,5233301349480975,5233271951053535
219,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,299,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1566412,175557288,5233271927687449,5233301349480975,5233301349662575,5233271951198736
220,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,301,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,818254,91659392,5233271927800601,5233301349675855,5233301349722255,5233271951288094
221,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,302,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,85305450,9554309464,5233271927940232,5233301349722255,5233301373044319,5233271974699965
222,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,304,256528,256528,16000000,256,0,0,4,4,16,64,0x0,0x7efc0b1993c0,250000,1575324,176541568,5233271928057221,5233301373055839,5233301373234559,5233271974912492
223,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,306,256528,256528,4194304,256,0,0,4,4,16,64,0x0,0x7efc0b1998c0,65536,712986,79887976,5233271928167477,5233301373246879,5233301373293439,5233271974998253
224,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,307,256528,256528,8388608,256,40960,0,116,20,32,64,0x0,0x7efc0b668680,524288,84857442,9504096304,5233271928306357,5233301373293231,5233301396586814,5233271998301782
