Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
91,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,126,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4751571,532272876,5233276617656445,5233300253964579,5233300254012099,5233276708731579
92,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,127,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,816440594,91440849772,5233276617784094,5233300254012099,5233300276730481,5233276731496711
93,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,129,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4447273,498162120,5233276731566862,5233300276791601,5233300276839281,5233276731756938
94,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,130,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,815924937,91382498072,5233276731765333,5233300276860561,5233300299578782,5233276754732643
95,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,131,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16668922,1867053924,5233276731937144,5233300299578782,5233300299755742,5233276754877244
96,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,133,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4146254,464451996,5233276732051188,5233300299769182,5233300299816542,5233276754967081
97,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,134,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,815540885,91339523500,5233276732188665,5233300299816554,5233300322536376,5233276777724339
98,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,136,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,17032961,1907812644,5233276732303680,5233300322547894,5233300322730934,5233276777940723
99,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,138,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4336108,485701776,5233276732413766,5233300322742934,5233300322790614,5233276778026604
100,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,139,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,816005063,91391745320,5233276732546584,5233300322790614,5233300345509636,5233276800779873
101,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,141,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16558968,1854626420,5233276732658273,5233300345521156,5233300345694916,5233276800992982
102,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,143,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4523040,506608564,5233276732765344,5233300345706916,5233300345753156,5233276801078282
103,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,144,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,815712791,91359094916,5233276732897731,5233300345753156,5233300368475857,5233276823828355
104,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,146,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16510345,1849209372,5233276733013337,5233300368487377,5233300368661777,5233276824039590
105,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,148,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4275890,478986188,5233276733120488,5233300368674097,5233300368722257,5233276824123797
106,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,149,256842,256842,2097152,256,40960,0,116,20,32,64,0x0,0x7f35edd08680,42467328,816991587,91502394132,5233276733253998,5233300368722473,5233300391440379,5233276846884581
107,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,151,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4382807,490968752,5233276847087851,5233300391630937,5233300391679417,5233276847277666
108,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,152,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,823217632,92199207812,5233276853226423,5233300397562134,5233300420524839,5233276876338985
109,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,155,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16813824,1883151868,5233276876373580,5233300420618759,5233300420797319,5233276876712884
110,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,156,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4516916,505949532,5233276876536605,5233300420797319,5233300420847399,5233276876820325
111,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,157,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,821158653,91969036696,5233276876696513,5233300420847399,5233300443794424,5233276899804376
112,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,158,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16689181,1869187396,5233276876798304,5233300443794424,5233300443974104,5233276899948155
113,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,159,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4684483,524689588,5233276876985785,5233300443974104,5233300444024664,5233276900033885
114,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,160,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,823459563,92226250944,5233276877122110,5233300444024520,5233300466973943,5233276923017817
115,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,161,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,17027537,1907128588,5233276877213260,5233300466973943,5233300467151061,5233276923222500
116,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,162,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4498944,503996608,5233276877294622,5233300467151061,5233300467200341,5233276923302079
117,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,163,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,822362053,92104213756,5233276877421900,5233300467200341,5233300490153444,5233276946282433
118,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,164,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16790938,1880643676,5233276877507020,5233300490153444,5233300490332644,5233276946489470
119,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,165,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4678888,524109316,5233276877586809,5233300490332644,5233300490380484,5233276946569901
120,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,166,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,824190012,92308504880,5233276877714207,5233300490380484,5233300513351187,5233276969571515
121,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,167,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16414005,1838509712,5233276877799456,5233300513351187,5233300513526547,5233276969776518
122,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,168,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4465249,500169980,5233276877877553,5233300513526547,5233300513576627,5233276969855957
123,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,169,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,823471107,92227167808,5233276878003859,5233300513576569,5233300536516711,5233276992847342
124,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,171,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4432687,496523152,5233276992912564,5233300536578309,5233300536625189,5233276993106807
125,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,172,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,822482999,92117069992,5233276993115343,5233300536638309,5233300559594131,5233277016291704
126,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,173,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16721600,1872820016,5233276993283908,5233300559594131,5233300559770131,5233277016433739
127,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,175,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4125502,462151312,5233276993403782,5233300559783571,5233300559830451,5233277016525321
128,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,176,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,824192382,92308573644,5233276993543083,5233300559830451,5233300582793793,5233277039515353
129,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,178,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16659290,1865953596,5233276993660072,5233300582804993,5233300582981313,5233277039725887
130,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,180,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4269121,478233624,5233276993769917,5233300582993473,5233300583040673,5233277039813120
131,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,181,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,821117861,91964168448,5233276993902325,5233300583040690,5233300605991553,5233277062778937
132,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,183,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16387941,1835458988,5233276994014555,5233300606002911,5233300606177471,5233277062987137
133,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,185,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4172308,467362612,5233276994133006,5233300606189471,5233300606235871,5233277063073218
134,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,186,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,824958660,92395234136,5233276994269782,5233300606235871,5233300629182093,5233277086079029
135,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,188,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,16384180,1835089676,5233276994382072,5233300629193453,5233300629372013,5233277086289463
136,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,190,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4236420,474572320,5233276994490204,5233300629384173,5233300629432173,5233277086780291
137,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,191,256842,256842,4194304,256,61440,0,128,16,48,64,0x0,0x7f35edce0680,42991616,821639702,92023252280,5233276994623284,5233300629432173,5233300652381595,5233277109330290
138,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,193,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4455359,499073276,5233277109542146,5233300652578555,5233300652625595,5233277109730899
139,_kernel_0d1d2d3d4d5d6d7c8d9c10d11c.kd,2,0,194,256842,256842,4194304,256,40960,0,116,20,32,64,0x0,0x7f35edcd0680,42991616,821811561,92042458880,5233277115386478,5233300658123774,5233300681114638,5233277138535708
140,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<int>, Array<char*, 1>) ",2,0,197,256842,256842,16000000,256,0,0,4,4,16,64,0x0,0x7f35edc993c0,1000000,17025014,1906948488,5233277138552449,5233300681212876,5233300681393516,5233277138913094
141,"void elementwise_kernel<FillFunctor, Array >(int, FillFunctor<float>, Array<char*, 1>) ",2,0,198,256842,256842,4194304,256,0,0,4,4,16,64,0x0,0x7f35edc998c0,262144,4549502,509648024,5233277138731344,5233300681393516,5233300681446956,5233277139017029
